lag_1,lag_2,lag_4,lag_8,rolling_mean_4,rolling_mean_8,rolling_std_4,rolling_std_8,week_of_year,week_cos,hol_easter,hol_kings_day,hol_pentecost,hol_christmas,temp_mean,precip_sum,sunshine_sum,lockdown_days,school_holiday,product_id,week_start
-17.253763,-7.2247176,0.010644546,-1.7727625,-18.858065,-6.355221,4.6277833,-1.221212,-0.7770055,4.3471975,-0.115173705,-0.013803879,-0.030149309,0.0020746759,0.76756895,0.3558227,-1.5682423,-0.6913843,-0.004331272,343,2021-09-13
-18.389133,-6.7798886,-0.62602675,-1.7802708,-18.114712,-3.8058739,4.6435723,-0.6044306,-0.751551,4.3562713,-0.115173705,-0.013803879,-0.030149309,0.0020746759,0.7656679,0.35721686,-1.590898,-0.6913843,-0.023942886,364,2021-09-13
-16.72445,-7.129659,0.6276956,-1.6098335,-17.69881,-4.310521,4.8562784,-0.7005827,-0.72671294,4.3240104,-0.11707391,-0.013803879,-0.026077552,0.0020746759,0.7625692,0.36476308,-1.555203,-0.753204,-0.004331272,374,2021-09-13
-17.300348,-7.241075,0.6633554,-1.8874972,-18.293226,-4.8018813,4.652993,-1.1122121,-0.72866976,4.389242,-0.117766574,-0.013803879,-0.026077552,0.0020746759,0.76207864,0.3704058,-1.5393233,-0.7075874,0.015196174,376,2021-09-13
-14.726784,-4.4586964,-0.9344101,-1.4412745,-10.71613,-1.2968769,4.7973313,-0.54049516,-0.96238434,5.0162406,-0.1590362,-0.013803879,-0.02977884,0.0020746759,0.9620199,0.4114337,-1.534243,-0.8540679,0.00034690206,437,2021-09-13
-18.456408,-7.03017,0.0074530747,-1.7686028,-18.498365,-4.681285,4.738482,-0.9905167,-0.64556986,4.341487,-0.117766574,-0.013803879,-0.026077552,0.0020746759,0.76197267,0.35408717,-1.5697906,-0.69216603,-0.004331272,438,2021-09-13
-19.552378,-8.277933,-0.23612234,-1.973632,-18.878994,-6.0240626,4.645477,2.1084173,-0.68911386,4.2728105,-0.115173705,-0.013803879,-0.030149309,0.0020746759,0.75311196,0.35463104,-1.5634754,-0.6757268,0.0061817365,463,2021-09-13
-18.398058,-8.621395,0.4185814,-1.9641811,-18.873594,-7.6365767,4.39131,2.0127013,-0.7568615,4.266335,-0.115173705,-0.013803879,-0.030149309,0.0020746759,0.7678449,0.34966245,-1.5415919,-0.66802776,0.0061817365,468,2021-09-13
-18.398058,-8.621395,0.4185814,-1.9641811,-18.873594,-7.6365767,4.39131,2.0127013,-0.7568615,4.266335,-0.115173705,-0.013803879,-0.030149309,0.0020746759,0.7678449,0.34966245,-1.5415919,-0.66802776,0.0061817365,478,2021-09-13
17.137098,20.120884,0.1745209,5.261883,106.605865,13.285065,-20.279367,6.6449294,3.7795415,29.38995,-0.856109,-0.13353147,-0.19788362,0.025684433,-0.5037482,2.2980516,-4.1057076,-1.8485837,0.7079995,7,2021-09-20
68.701904,11.645338,0.033334687,5.01695,89.41457,26.533207,7.362794,13.07384,2.1229415,35.990475,-0.63315386,-0.031254195,-0.027807768,0.017422015,4.7031198,4.197196,-1.5929824,-2.1543908,0.6275659,8,2021-09-20
-13.771942,-1.8906673,4.6602716,4.2251344,12.853741,10.630538,0.9827754,11.082911,-4.6855736,13.852478,-0.78409314,-0.06301128,-0.07027255,0.0020746759,-1.660102,2.6534243,1.5364722,-1.0824274,0.005162688,11,2021-09-20
-17.589989,-6.028905,-0.33371472,0.036531564,-17.249876,-1.5229955,5.1984963,-0.14112115,-1.0092881,4.7726135,-0.16331998,-0.015718872,-0.030141013,0.0020746759,0.71363086,1.5922406,-0.62776107,-0.7317761,0.017760659,13,2021-09-20
-3.9320993,-3.597808,0.28374553,4.722706,13.99707,7.9695387,-0.44933787,1.0228603,-3.86919,8.258841,-0.28583226,-0.033576846,-0.03306171,0.0020746759,0.42272106,3.5350375,-1.9249607,-1.6201497,-0.01295493,17,2021-09-20
-17.250294,-7.487473,0.28516158,-1.6231978,-19.283081,-7.1041718,4.879389,-1.437649,-0.8309291,4.364749,-0.1213623,-0.0143157,-0.029713778,0.0020746759,0.8569723,1.4956762,-0.54478455,-0.68892723,-0.0021941268,18,2021-09-20
-16.067198,-4.7781973,-1.7990552,-0.9871277,-6.402567,4.4680367,2.1164932,0.0011142932,-1.3157344,5.7625794,-0.17001544,-0.014988631,-0.033727426,0.0020746759,0.78842014,1.593273,-0.7680154,-0.9851175,0.01003104,21,2021-09-20
127.37601,34.203716,4.668987,14.720262,52.96994,25.110563,-5.962739,-12.707871,-2.4721687,28.648685,-1.2168632,0.017893145,-0.17769818,0.0019241853,-1.7402658,2.1094406,-5.2337317,-3.844269,-1.1711423,24,2021-09-20
-16.418667,2.6153817,-2.0276296,-1.6407455,-0.80411345,11.300209,-3.093222,-0.22276542,-2.0058131,7.0483675,-0.12706983,-0.06636765,-0.05788332,0.014219655,0.28456256,1.7099917,-0.9086379,-1.1614838,-0.008388167,32,2021-09-20
-17.51867,-5.297945,-1.3930476,-1.1025387,-12.252929,1.1883643,5.492221,-0.20930281,-0.8702739,5.3184543,-0.14789401,-0.0143157,-0.029343309,0.0020746759,1.1540151,1.586264,-0.5927104,-0.7228191,-0.0015617057,39,2021-09-20
-17.301428,-1.626909,-1.3165437,0.17373338,-5.36469,4.32193,4.922981,-0.24404234,-1.2002512,5.706165,-0.17806037,-0.015718872,-0.035845265,0.0020746759,1.1221247,1.8756294,-0.6399481,-0.92881846,0.0029113842,40,2021-09-20
