product_id,week,sku_sold,week_start
697,2020-03-02/2020-03-08,6,2020-03-02
697,2020-03-30/2020-04-05,3,2020-03-30
697,2020-04-06/2020-04-12,3,2020-04-06
697,2020-04-13/2020-04-19,12,2020-04-13
697,2020-04-27/2020-05-03,12,2020-04-27
697,2020-05-18/2020-05-24,3,2020-05-18
697,2020-06-01/2020-06-07,6,2020-06-01
697,2020-06-08/2020-06-14,6,2020-06-08
697,2020-06-15/2020-06-21,9,2020-06-15
697,2020-06-22/2020-06-28,9,2020-06-22
697,2020-06-29/2020-07-05,3,2020-06-29
697,2020-07-06/2020-07-12,3,2020-07-06
697,2020-07-13/2020-07-19,6,2020-07-13
697,2020-08-10/2020-08-16,3,2020-08-10
697,2020-08-17/2020-08-23,3,2020-08-17
697,2020-08-24/2020-08-30,3,2020-08-24
697,2020-09-07/2020-09-13,6,2020-09-07
697,2020-11-16/2020-11-22,12,2020-11-16
698,2019-02-04/2019-02-10,3,2019-02-04
698,2019-02-18/2019-02-24,3,2019-02-18
698,2020-03-23/2020-03-29,3,2020-03-23
698,2020-07-13/2020-07-19,3,2020-07-13
698,2020-09-07/2020-09-13,2,2020-09-07
698,2020-09-14/2020-09-20,3,2020-09-14
698,2020-10-05/2020-10-11,3,2020-10-05
698,2020-10-19/2020-10-25,3,2020-10-19
698,2020-11-16/2020-11-22,7,2020-11-16
698,2020-11-30/2020-12-06,3,2020-11-30
698,2020-12-21/2020-12-27,18,2020-12-21
699,2019-02-04/2019-02-10,3,2019-02-04
699,2019-02-18/2019-02-24,3,2019-02-18
699,2020-07-13/2020-07-19,3,2020-07-13
699,2020-08-17/2020-08-23,3,2020-08-17
699,2020-09-07/2020-09-13,5,2020-09-07
699,2020-09-21/2020-09-27,3,2020-09-21
699,2020-12-14/2020-12-20,3,2020-12-14
699,2020-12-21/2020-12-27,15,2020-12-21
700,2018-01-15/2018-01-21,6,2018-01-15
700,2018-01-22/2018-01-28,10,2018-01-22
700,2018-01-29/2018-02-04,6,2018-01-29
700,2018-02-19/2018-02-25,4,2018-02-19
700,2018-03-05/2018-03-11,4,2018-03-05
700,2018-03-19/2018-03-25,4,2018-03-19
700,2018-05-07/2018-05-13,2,2018-05-07
700,2018-05-28/2018-06-03,8,2018-05-28
700,2019-10-14/2019-10-20,6,2019-10-14
700,2020-03-30/2020-04-05,6,2020-03-30
701,2020-01-27/2020-02-02,2,2020-01-27
701,2020-02-10/2020-02-16,2,2020-02-10
701,2020-06-01/2020-06-07,6,2020-06-01
702,2019-07-01/2019-07-07,6,2019-07-01
702,2020-06-22/2020-06-28,3,2020-06-22
703,2020-08-17/2020-08-23,6,2020-08-17
704,2018-12-31/2019-01-06,1,2018-12-31
704,2019-01-21/2019-01-27,1,2019-01-21
704,2019-02-04/2019-02-10,1,2019-02-04
704,2019-02-18/2019-02-24,1,2019-02-18
704,2019-03-04/2019-03-10,1,2019-03-04
